@relation QueryResult

@attribute Matricula numeric
@attribute QtdeCB numeric
@attribute PrimeiraNotaCB {MS,MI,SS,MM,II,SR,TR}
@attribute PrimeiraTurmaCB {2006_2_A,2009_2_C,2008_2_D,2003_2_A,2003_1_C,2002_1_A,2005_2_A,2006_2_B}
@attribute UltimaNotaCB {MS,SS,MM,MI,TR,SR}
@attribute UltimaTurmaCB {2006_2_A,2009_2_C,2007_2_D,2008_2_D,2003_2_A,2007_1_A,2003_1_C,2007_1_D,2002_1_A,2005_2_A,2006_2_B}
@attribute StatusMencaoCB {APROVADO,REPROVADO}
@attribute QtdeED numeric
@attribute PrimeiraNotaED {II,SS,MS,MM,SR,CC}
@attribute PrimeiraTurmaED {2007_1_A,2007_2_A,2010_1_E,2008_1_A,2009_1_D,2004_2_C,2007_2_D,2002_2_A,2007_2_B,2006_2_A,2004_1_}
@attribute UltimaNotaED {MS,SS,MM,II,SR,CC}
@attribute UltimaTurmaED {2007_2_A,2007_1_A,2010_1_E,2008_1_A,2009_1_D,2004_2_C,2007_2_D,2002_2_A,2007_2_B,2006_2_A,2004_1_}
@attribute StatusMencaoED {APROVADO,REPROVADO}
@attribute QtdePS numeric
@attribute PrimeiraNotaPS {MM,MS,SR,SS,MI,CC}
@attribute PrimeiraTurmaPS {2007_2_A,2008_1_A,2007_1_A,2008_2_A,2005_1_A,2002_1_}
@attribute UltimaNotaPS {MM,MS,SS,SR,CC}
@attribute UltimaTurmaPS {2007_2_A,2008_1_A,2008_2_A,2005_1_A,2002_1_}
@attribute StatusMencaoPS {APROVADO,REPROVADO}
@attribute QtdeC1 numeric
@attribute PrimeiraNotaC1 {MI,MS,MM,SS,CC,SR}
@attribute PrimeiraTurmaC1 {2006_2_N,2006_2_C,2002_1_C,2006_2_E,2006_1_E,2003_1_F,2002_1_,2004_1_J,2006_1_H,2005_2_H,2006_2_,2006_2_P,2004_1_}
@attribute UltimaNotaC1 {MM,MI,MS,SS,CC,SR}
@attribute UltimaTurmaC1 {2008_2_C,2006_2_N,2006_2_C,2002_1_C,2006_2_E,2006_1_E,2003_1_F,2007_1_N,2002_1_,2004_1_J,2006_1_H,2005_2_H,2006_2_,2006_2_P,2004_1_}
@attribute StatusMencaoC1 {APROVADO,REPROVADO}
@attribute QtdeC2 numeric
@attribute PrimeiraNotaC2 {MS,MI,MM,SS,SR,II}
@attribute PrimeiraTurmaC2 {2009_1_D,2007_1_K,2007_2_D,2007_1_F,2002_2_F,2007_1_I,2004_1_A,2002_2_D,2005_1_K,2006_2_F,2006_1_E}
@attribute UltimaNotaC2 {MS,MM,SS,SR,II,MI}
@attribute UltimaTurmaC2 {2009_1_D,2007_2_A,2007_2_D,2007_1_F,2007_1_K,2002_2_F,2007_1_I,2007_2_F,2004_1_A,2002_2_D,2007_2_J,2005_1_K,2007_1_A,2006_1_E}
@attribute StatusMencaoC2 {APROVADO,REPROVADO}
@attribute QtdeC3 numeric
@attribute PrimeiraNotaC3 {MI,MM,MS,II,SR}
@attribute PrimeiraTurmaC3 {2009_2_A,2008_1_B,2007_2_B,2003_1_B,2007_2_E,2007_2_F,2007_2_I,2008_1_H,2004_2_F,2003_2_F,2007_1_A,2006_2_A}
@attribute UltimaNotaC3 {MS,MM,SR,II}
@attribute UltimaTurmaC3 {2012_1_A,2012_2_I,2007_2_B,2003_1_B,2007_2_E,2011_1_D,2007_2_F,2007_2_I,2008_1_H,2004_2_F,2008_1_C,2003_2_F,2007_2_H,2007_1_F}
@attribute StatusMencaoC3 {APROVADO,REPROVADO}
@attribute QtdeF1 numeric
@attribute PrimeiraNotaF1 {MM,MS,SS,SR,II,CC}
@attribute PrimeiraTurmaF1 {2006_2_A,2006_2_H,2002_1_H,2007_1_F,2003_1_M,2003_2_C,2002_1_A,2004_2_L,2005_2_A,2005_2_N,2007_1_A,2004_1_}
@attribute UltimaNotaF1 {MM,MS,SS,II,CC}
@attribute UltimaTurmaF1 {2006_2_A,2006_2_H,2002_1_H,2007_1_F,2003_1_M,2003_2_C,2002_1_A,2004_2_L,2005_2_A,2005_2_N,2007_1_A,2004_1_}
@attribute StatusMencaoF1 {APROVADO,REPROVADO}
@attribute QtdeF2 numeric
@attribute PrimeiraNotaF2 {MM,SS,MS,MI,SR,CC}
@attribute PrimeiraTurmaF2 {2009_1_F,2007_2_F,2007_2_K,2007_1_E,2007_1_K,2002_2_J,2007_2_C,2004_2_B,2007_1_H,2004_1_F,2002_2_K,2007_1_F,2006_2_E,2006_2_K,2004_1_}
@attribute UltimaNotaF2 {MM,SS,MS,MI,II,SR,CC}
@attribute UltimaTurmaF2 {2009_1_F,2007_2_F,2007_2_K,2007_1_E,2007_1_K,2002_2_J,2007_2_C,2004_2_B,2007_1_H,2004_1_F,2002_2_K,2007_1_F,2007_2_D,2006_2_K,2004_1_}
@attribute StatusMencaoF2 {APROVADO,REPROVADO}
@attribute QtdeF3 numeric
@attribute PrimeiraNotaF3 {MS,MI,MM,SR,II,SS,CC}
@attribute PrimeiraTurmaF3 {2009_2_A,2008_1_C,2008_1_D,2007_2_F,2007_2_D,2006_2_F,2008_1_A,2005_1_D,2007_2_E,2004_2_G,2003_2_E,2004_1_}
@attribute UltimaNotaF3 {MS,MI,MM,SR,II,SS,CC}
@attribute UltimaTurmaF3 {2009_2_A,2008_1_C,2008_1_D,2007_2_F,2007_2_D,2007_2_E,2008_1_A,2005_1_D,2008_1_E,2004_2_G,2003_2_E,2004_1_}
@attribute StatusMencaoF3 {APROVADO,REPROVADO}
@attribute AluSexo {M,F}
@attribute AluDtNasc {1987,1989,1988,1985,1983,1990,1984,1986,1977}
@attribute AluEscola {PARTICULAR,PUBLICA,'NAO INFORMADO','N INFORMADO'}
@attribute AluCotTipo {UNIVERSAL,NEGRO}
@attribute AluAnoIngresso numeric
@attribute AluSemestreIngresso numeric
@attribute AluAnoSaida numeric
@attribute AluSemestreSaida numeric
@attribute SemestreCursoSaida numeric
@attribute AluSaidaMotivo {FORMATURA,'NAO INFORMADO','DESL NAO CUMPRIU CONDICAO','NOVO VESTIBULAR','DESL ABANDONO','REPROVOU 3 VEZES MSM DISC OBR','DESL VOLUNTARIO'}
@attribute AluSituacao {FORMADO,CURSANDO,DESLIGADO}

@data
200680176,1,MS,2006_2_A,MS,2006_2_A,APROVADO,2,II,2007_1_A,MS,2007_2_A,APROVADO,1,MM,2007_2_A,MM,2007_2_A,APROVADO,4,MI,2006_2_N,MM,2008_2_C,APROVADO,1,MS,2009_1_D,MS,2009_1_D,APROVADO,3,MI,2009_2_A,MS,2012_1_A,APROVADO,1,MM,2006_2_A,MM,2006_2_A,APROVADO,1,MM,2009_1_F,MM,2009_1_F,APROVADO,1,MS,2009_2_A,MS,2009_2_A,APROVADO,M,1987,PARTICULAR,UNIVERSAL,2006,2,2014,0,15,FORMATURA,FORMADO
200686247,1,MS,2006_2_A,MS,2006_2_A,APROVADO,1,SS,2007_1_A,SS,2007_1_A,APROVADO,1,MM,2007_2_A,MM,2007_2_A,APROVADO,1,MI,2006_2_N,MI,2006_2_N,REPROVADO,2,MI,2007_1_K,MM,2007_2_A,APROVADO,?,?,?,?,?,?,1,MS,2006_2_A,MS,2006_2_A,APROVADO,1,MM,2007_2_F,MM,2007_2_F,APROVADO,1,MI,2008_1_C,MI,2008_1_C,REPROVADO,M,1989,PUBLICA,NEGRO,2006,2,2013,1,14,FORMATURA,FORMADO
200688118,1,MS,2006_2_A,MS,2006_2_A,APROVADO,1,MS,2007_2_A,MS,2007_2_A,APROVADO,1,MM,2008_1_A,MM,2008_1_A,APROVADO,1,MS,2006_2_N,MS,2006_2_N,APROVADO,1,MS,2007_2_D,MS,2007_2_D,APROVADO,3,MI,2008_1_B,MM,2012_2_I,APROVADO,1,SS,2006_2_A,SS,2006_2_A,APROVADO,1,MM,2007_2_K,MM,2007_2_K,APROVADO,1,MM,2008_1_D,MM,2008_1_D,APROVADO,M,1988,PUBLICA,UNIVERSAL,2006,2,0,9,99,'NAO INFORMADO',CURSANDO
200688967,1,MS,2009_2_C,MS,2009_2_C,APROVADO,1,SS,2010_1_E,SS,2010_1_E,APROVADO,?,?,?,?,?,?,1,MI,2006_2_C,MI,2006_2_C,REPROVADO,1,MM,2007_1_F,MM,2007_1_F,APROVADO,1,MM,2007_2_B,MM,2007_2_B,APROVADO,1,MM,2006_2_H,MM,2006_2_H,APROVADO,1,MM,2007_1_E,MM,2007_1_E,APROVADO,1,SR,2007_2_F,SR,2007_2_F,REPROVADO,M,1988,PARTICULAR,UNIVERSAL,2006,2,2012,2,13,'DESL NAO CUMPRIU CONDICAO',DESLIGADO
200680401,1,MS,2006_2_A,MS,2006_2_A,APROVADO,1,SS,2007_1_A,SS,2007_1_A,APROVADO,1,MS,2007_2_A,MS,2007_2_A,APROVADO,1,MM,2006_2_N,MM,2006_2_N,APROVADO,1,MS,2007_1_K,MS,2007_1_K,APROVADO,1,MS,2007_2_B,MS,2007_2_B,APROVADO,1,SS,2006_2_A,SS,2006_2_A,APROVADO,1,SS,2007_1_K,SS,2007_1_K,APROVADO,1,MM,2007_2_D,MM,2007_2_D,APROVADO,M,1988,PARTICULAR,UNIVERSAL,2006,2,2011,2,11,FORMATURA,FORMADO
200685054,3,MI,2006_2_A,SS,2007_2_D,APROVADO,1,MS,2008_1_A,MS,2008_1_A,APROVADO,2,SR,2007_1_A,SS,2007_2_A,APROVADO,1,SS,2002_1_C,SS,2002_1_C,APROVADO,1,MM,2002_2_F,MM,2002_2_F,APROVADO,1,MS,2003_1_B,MS,2003_1_B,APROVADO,1,MS,2002_1_H,MS,2002_1_H,APROVADO,1,MM,2002_2_J,MM,2002_2_J,APROVADO,3,SR,2006_2_F,MS,2007_2_E,APROVADO,M,1985,'NAO INFORMADO',UNIVERSAL,2006,2,2011,2,11,'DESL NAO CUMPRIU CONDICAO',DESLIGADO
200687391,1,SS,2008_2_D,SS,2008_2_D,APROVADO,1,SS,2009_1_D,SS,2009_1_D,APROVADO,1,MS,2008_2_A,MS,2008_2_A,APROVADO,1,MS,2006_2_E,MS,2006_2_E,APROVADO,1,MS,2007_1_I,MS,2007_1_I,APROVADO,1,MM,2007_2_E,MM,2007_2_E,APROVADO,1,SS,2007_1_F,SS,2007_1_F,APROVADO,1,SS,2007_2_C,SS,2007_2_C,APROVADO,1,MS,2008_1_A,MS,2008_1_A,APROVADO,M,1987,'NAO INFORMADO',UNIVERSAL,2006,2,2011,2,11,FORMATURA,FORMADO
200690775,1,MM,2003_2_A,MM,2003_2_A,APROVADO,1,MS,2004_2_C,MS,2004_2_C,APROVADO,1,MM,2005_1_A,MM,2005_1_A,APROVADO,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,MM,2003_1_M,MM,2003_1_M,APROVADO,1,MM,2004_2_B,MM,2004_2_B,APROVADO,1,MS,2005_1_D,MS,2005_1_D,APROVADO,M,1983,'NAO INFORMADO',UNIVERSAL,2006,2,2012,1,12,'DESL NAO CUMPRIU CONDICAO',DESLIGADO
200693472,1,SS,2006_2_A,SS,2006_2_A,APROVADO,1,SS,2007_1_A,SS,2007_1_A,APROVADO,1,SS,2007_2_A,SS,2007_2_A,APROVADO,1,MS,2006_2_N,MS,2006_2_N,APROVADO,1,SS,2007_1_K,SS,2007_1_K,APROVADO,1,MS,2007_2_B,MS,2007_2_B,APROVADO,1,SS,2006_2_A,SS,2006_2_A,APROVADO,1,SS,2007_1_K,SS,2007_1_K,APROVADO,1,MS,2007_2_D,MS,2007_2_D,APROVADO,M,1988,'NAO INFORMADO',UNIVERSAL,2006,2,2011,1,10,FORMATURA,FORMADO
200694011,2,MI,2006_2_A,MM,2007_1_A,APROVADO,1,MS,2007_2_D,MS,2007_2_D,APROVADO,1,MM,2008_1_A,MM,2008_1_A,APROVADO,1,MM,2006_2_N,MM,2006_2_N,APROVADO,1,MM,2007_1_K,MM,2007_1_K,APROVADO,3,II,2007_2_F,MS,2011_1_D,APROVADO,1,SS,2006_2_A,SS,2006_2_A,APROVADO,1,MM,2007_1_H,MM,2007_1_H,APROVADO,1,II,2007_2_D,II,2007_2_D,REPROVADO,F,1987,'NAO INFORMADO',NEGRO,2006,2,2011,1,10,FORMATURA,FORMADO
