@relation QueryResult

@attribute Matricula numeric
@attribute QtdeCB numeric
@attribute PrimeiraNotaCB {SS,MS,MM,II,CC,MI,SR}
@attribute PrimeiraTurmaCB {2010_1_A,2010_1_,2010_2_B,2005_2_A,2002_1_A,2011_2_D,2010_1_B,2006_1_A,2010_1_F,2011_1_D,2010_1_D}
@attribute UltimaNotaCB {SS,MS,MM,CC,II,SR,MI}
@attribute UltimaTurmaCB {2010_1_A,2010_2_A,2010_1_,2010_2_B,2005_2_A,2010_2_F,2002_1_A,2011_2_D,2011_1_A,2011_1_BB,2006_1_A,2011_1_D,2010_2_D,2010_1_D}
@attribute StatusMencaoCB {APROVADO,REPROVADO}
@attribute QtdeED numeric
@attribute PrimeiraNotaED {SS,MS,MM,II,CC,MI,SR}
@attribute PrimeiraTurmaED {2010_2_A,2010_2_B,2011_1_A,2010_1_,2011_1_E,2006_1_A,2010_1_A,2010_1_C,2002_2_A,2006_2_A}
@attribute UltimaNotaED {SS,MS,MM,CC,SR,MI,II}
@attribute UltimaTurmaED {2010_2_A,2010_2_B,2011_2_A,2011_1_B,2010_1_,2011_1_E,2006_1_A,2011_1_A,2010_1_A,2010_1_C,2007_1_A,2002_2_A,2006_2_A,2011_1_D}
@attribute StatusMencaoED {APROVADO,REPROVADO}
@attribute QtdePS numeric
@attribute PrimeiraNotaPS {MM,MS,MI,II,TR,SR,CC,SS}
@attribute PrimeiraTurmaPS {2011_1_A,2012_1_A,2010_2_A,2012_2_A,2010_1_A,2011_2_A,2006_2_A,2010_1_,2002_1_,2007_1_A}
@attribute UltimaNotaPS {MM,MS,TR,CC,MI,SS}
@attribute UltimaTurmaPS {2011_1_A,2012_1_A,2011_2_A,2010_2_A,2012_2_A,2010_1_A,2006_2_A,2010_1_,2007_2_A,2002_1_,2007_1_A}
@attribute StatusMencaoPS {APROVADO,REPROVADO}
@attribute QtdeC1 numeric
@attribute PrimeiraNotaC1 {MS,SS,II,MI,MM,CC,SR}
@attribute PrimeiraTurmaC1 {2010_1_B,2010_2_Y,2007_2_F,2004_1_H,2010_1_,2010_2_G,2005_2_N,2002_1_,2006_1_A,2006_2_L,2010_1_M}
@attribute UltimaNotaC1 {MS,SS,MM,CC,SR,II}
@attribute UltimaTurmaC1 {2010_1_B,2011_1_G,2010_2_B,2012_1_E,2007_2_F,2004_1_H,2010_1_,2010_2_G,2005_2_N,2002_1_,2011_1_I,2011_1_A,2006_1_A,2011_1_Y,2010_2_Y,2006_2_L,2010_2_D,2010_1_M}
@attribute StatusMencaoC1 {APROVADO,REPROVADO}
@attribute QtdeC2 numeric
@attribute PrimeiraNotaC2 {MM,MS,II,SS,MI,SR,TR,CC}
@attribute PrimeiraTurmaC2 {2010_2_F,2010_2_D,2010_2_L,2010_2_K,2011_2_C,2011_1_D,2012_2_B,2010_2_A,2008_1_C,2011_1_M,2004_2_A,2010_1_D,2010_1_K,2010_2_E,2011_1_K,2006_2_A,2010_2_G,2010_1_F,2010_1_C,2006_1_J,2002_2_D,2006_2_K,2007_1_J,2010_1_}
@attribute UltimaNotaC2 {MM,MS,SS,MI,II,SR,CC}
@attribute UltimaTurmaC2 {2010_2_F,2010_2_D,2010_2_L,2011_1_D,2012_2_I,2012_2_B,2010_2_A,2011_1_L,2008_1_C,2011_1_M,2010_2_K,2010_2_J,2011_2_I,2013_2_H,2010_2_E,2011_1_K,2011_2_M,2011_1_I,2006_2_A,2010_2_G,2011_1_J,2010_1_C,2012_1_F,2007_1_H,2011_2_L,2002_2_D,2006_2_K,2007_1_J,2010_1_}
@attribute StatusMencaoC2 {APROVADO,REPROVADO}
@attribute QtdeC3 numeric
@attribute PrimeiraNotaC3 {MM,MS,SR,MI,II}
@attribute PrimeiraTurmaC3 {2011_1_A,2011_1_F,2011_1_G,2011_2_G,2011_2_C,2011_2_A,2008_2_G,2011_1_E,2011_1_I,2011_1_D,2011_1_H,2012_1_I,2012_1_A,2011_2_B,2008_1_A,2010_2_E,2008_1_C,2003_2_F,2007_1_A}
@attribute UltimaNotaC3 {MM,MS,II,TR,SR,SS}
@attribute UltimaTurmaC3 {2011_1_A,2011_1_F,2011_1_G,2012_1_A,2011_2_G,2011_2_C,2011_2_A,2009_1_C,2011_1_E,2011_2_H,2011_1_D,2011_1_H,2012_1_I,2012_2_E,2010_1_C,2013_1_E,2012_2_D,2010_2_E,2009_2_D,2003_2_F,2010_2_H}
@attribute StatusMencaoC3 {APROVADO,REPROVADO}
@attribute QtdeF1 numeric
@attribute PrimeiraNotaF1 {MS,MM,SS,MI,SR,CC,II}
@attribute PrimeiraTurmaF1 {2010_1_A,2010_2_L,2007_2_E,2004_1_N,2010_1_E,2010_1_D,2011_2_C,2005_2_A,2010_1_,2002_1_A,2010_2_A,2006_1_B,2010_1_F}
@attribute UltimaNotaF1 {MS,MM,SS,CC,II,MI,SR}
@attribute UltimaTurmaF1 {2010_1_A,2011_1_L,2010_2_J,2007_2_E,2011_1_B,2004_2_L,2010_1_E,2010_1_D,2011_2_C,2011_2_F,2005_2_A,2010_2_L,2010_2_K,2010_1_,2002_1_A,2011_2_H,2011_1_C,2006_1_B,2011_1_A,2011_1_H,2010_2_A,2010_2_B}
@attribute StatusMencaoF1 {APROVADO,REPROVADO}
@attribute QtdeF2 numeric
@attribute PrimeiraNotaF2 {MS,MM,MI,SR,TJ,II}
@attribute PrimeiraTurmaF2 {2010_2_N,2011_1_K,2010_2_K,2011_2_D,2011_1_D,2011_1_C,2008_1_B,2011_2_K,2005_1_D,2012_1_F,2010_2_A,2012_1_K,2006_2_F,2011_1_A,2010_1_L,2006_1_B,2002_2_K,2006_2_K,2010_2_F}
@attribute UltimaNotaF2 {MS,MM,TR,II}
@attribute UltimaTurmaF2 {2010_2_N,2011_1_K,2010_2_K,2011_2_N,2011_2_D,2011_1_D,2012_2_D,2011_1_C,2008_1_B,2011_2_K,2005_1_D,2011_2_C,2012_1_C,2012_2_C,2010_2_A,2012_1_K,2006_2_F,2011_2_B,2012_2_K,2006_1_B,2002_2_K,2006_2_K,2010_2_F}
@attribute StatusMencaoF2 {APROVADO,REPROVADO}
@attribute QtdeF3 numeric
@attribute PrimeiraNotaF3 {MM,SR,MS,II,MI,TR,TJ,CC}
@attribute PrimeiraTurmaF3 {2011_1_A,2011_2_A,2011_2_D,2012_1_F,2013_1_A,2011_1_F,2008_2_D,2012_1_A,2011_1_G,2012_2_G,2012_2_D,2012_2_A,2011_2_F,2007_1_E,2012_1_C,2013_1_E,2010_1_,2007_2_E,2003_2_E,2007_1_D}
@attribute UltimaNotaF3 {MM,MS,MI,SR,CC}
@attribute UltimaTurmaF3 {2011_1_A,2011_2_A,2012_1_F,2012_2_F,2011_2_D,2013_1_A,2011_1_F,2012_1_G,2012_1_A,2011_1_G,2013_1_E,2012_2_D,2012_2_A,2007_1_E,2012_2_G,2010_1_,2008_2_C,2003_2_E,2007_2_D}
@attribute StatusMencaoF3 {APROVADO,REPROVADO}
@attribute AluSexo {M,F}
@attribute AluDtNasc {1992,1993,1991,1985,1988,1990,1989,1984,1986,1987,1983}
@attribute AluEscola {PARTICULAR,PUBLICA,'N INFORMADO'}
@attribute AluCotTipo {UNIVERSAL,NEGRO}
@attribute AluAnoIngresso numeric
@attribute AluSemestreIngresso numeric
@attribute AluAnoSaida numeric
@attribute AluSemestreSaida numeric
@attribute SemestreCursoSaida numeric
@attribute AluSaidaMotivo {'NAO INFORMADO','DESL NAO CUMPRIU CONDICAO','NOVO VESTIBULAR',FORMATURA,'REPROVOU 3 VEZES MSM DISC OBR','DESL ABANDONO','DESL VOLUNTARIO'}
@attribute AluSituacao {CURSANDO,DESLIGADO,FORMADO}

@data
201086718,1,SS,2010_1_A,SS,2010_1_A,APROVADO,1,SS,2010_2_A,SS,2010_2_A,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,1,MM,2010_2_F,MM,2010_2_F,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,MS,2010_2_N,MS,2010_2_N,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,M,1992,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201086795,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,1,MS,2010_2_D,MS,2010_2_D,APROVADO,1,MS,2011_1_F,MS,2011_1_F,APROVADO,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,MM,2011_1_K,MM,2011_1_K,APROVADO,1,MM,2011_2_A,MM,2011_2_A,APROVADO,M,1993,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087024,1,SS,2010_1_A,SS,2010_1_A,APROVADO,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,SS,2010_1_B,SS,2010_1_B,APROVADO,1,MS,2010_2_L,MS,2010_2_L,APROVADO,1,MS,2011_1_G,MS,2011_1_G,APROVADO,1,SS,2010_1_A,SS,2010_1_A,APROVADO,1,MM,2010_2_K,MM,2010_2_K,APROVADO,2,SR,2011_2_D,MM,2012_1_F,APROVADO,F,1992,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087039,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,1,MM,2010_2_L,MM,2010_2_L,APROVADO,2,SR,2011_1_G,MM,2012_1_A,APROVADO,1,MM,2010_1_A,MM,2010_1_A,APROVADO,3,MI,2010_2_K,MS,2011_2_N,APROVADO,2,SR,2012_1_F,MM,2012_2_F,APROVADO,M,1992,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087123,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,SS,2010_2_A,SS,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,SS,2010_1_B,SS,2010_1_B,APROVADO,1,MS,2010_2_L,MS,2010_2_L,APROVADO,1,MS,2011_1_F,MS,2011_1_F,APROVADO,1,SS,2010_1_A,SS,2010_1_A,APROVADO,1,MM,2010_2_K,MM,2010_2_K,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,F,1993,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087219,1,SS,2010_1_A,SS,2010_1_A,APROVADO,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,2,II,2010_2_K,MS,2011_1_D,APROVADO,1,MM,2011_2_G,MM,2011_2_G,APROVADO,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,MM,2010_2_K,MM,2010_2_K,APROVADO,1,MS,2011_2_D,MS,2011_2_D,APROVADO,M,1991,PUBLICA,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087531,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,MS,2010_2_B,MS,2010_2_B,APROVADO,1,MM,2012_1_A,MM,2012_1_A,APROVADO,2,II,2010_2_Y,MS,2011_1_G,APROVADO,3,II,2011_2_C,MS,2012_2_I,APROVADO,?,?,?,?,?,?,2,MI,2010_2_L,MS,2011_1_L,APROVADO,1,MM,2011_2_D,MM,2011_2_D,APROVADO,1,MM,2013_1_A,MM,2013_1_A,APROVADO,F,1991,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087601,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,SS,2010_2_A,SS,2010_2_A,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,1,SS,2010_2_L,SS,2010_2_L,APROVADO,1,MS,2011_1_F,MS,2011_1_F,APROVADO,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,MM,2010_2_K,MM,2010_2_K,APROVADO,1,MM,2011_1_F,MM,2011_1_F,APROVADO,F,1992,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087895,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,SS,2010_2_A,SS,2010_2_A,APROVADO,2,MI,2010_2_A,MM,2011_2_A,APROVADO,2,MI,2010_1_B,MM,2010_2_B,APROVADO,1,MM,2011_1_D,MM,2011_1_D,APROVADO,1,MM,2011_2_C,MM,2011_2_C,APROVADO,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,MM,2011_1_D,MM,2011_1_D,APROVADO,2,II,2011_2_A,MS,2012_1_G,APROVADO,M,1992,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201087981,1,MS,2010_1_A,MS,2010_1_A,APROVADO,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,1,MM,2010_2_D,MM,2010_2_D,APROVADO,1,MM,2011_1_F,MM,2011_1_F,APROVADO,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,MM,2010_2_K,MM,2010_2_K,APROVADO,2,MI,2011_1_F,MM,2011_2_A,APROVADO,F,1992,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201088039,1,MM,2010_1_A,MM,2010_1_A,APROVADO,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,MM,2010_2_A,MM,2010_2_A,APROVADO,4,MI,2010_1_B,MS,2012_1_E,APROVADO,1,MM,2012_2_B,MM,2012_2_B,APROVADO,?,?,?,?,?,?,1,MM,2010_1_A,MM,2010_1_A,APROVADO,?,?,?,?,?,?,?,?,?,?,?,?,F,1991,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
201088156,1,SS,2010_1_A,SS,2010_1_A,APROVADO,1,SS,2010_2_A,SS,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,MS,2010_1_B,MS,2010_1_B,APROVADO,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MM,2011_1_F,MM,2011_1_F,APROVADO,1,MM,2010_1_A,MM,2010_1_A,APROVADO,2,MM,2010_2_K,TR,2012_2_D,REPROVADO,1,MS,2011_1_F,MS,2011_1_F,APROVADO,M,1991,PARTICULAR,UNIVERSAL,2010,1,0,9,99,'NAO INFORMADO',CURSANDO
