@relation QueryResult

@attribute Matricula numeric
@attribute QtdeCB numeric
@attribute PrimeiraNotaCB {CC,MS,SS,MM,II,MI,SR}
@attribute PrimeiraTurmaCB {2010_2_,2010_2_A,2000_1_A,2005_2_A,2012_2_F,2011_1_B,2010_2_C,2002_1_A,2010_2_F}
@attribute UltimaNotaCB {CC,MS,SS,MM,SR,MI,II}
@attribute UltimaTurmaCB {2010_2_,2010_2_A,2000_1_A,2005_2_A,2012_2_F,2011_1_B,2011_1_D,2012_2_D,2011_1_A,2011_2_F,2002_1_A,2011_2_D,2011_1_F,2010_2_F}
@attribute StatusMencaoCB {APROVADO,REPROVADO}
@attribute QtdeED numeric
@attribute PrimeiraNotaED {CC,MM,SS,MS,MI,TR,II,SR}
@attribute PrimeiraTurmaED {2010_2_,2010_2_A,2011_1_A,2004_2_B,2006_1_A,2013_2_A,2011_2_C,2011_2_A,2012_1_A,2002_2_,2011_2_E,2002_2_A}
@attribute UltimaNotaED {CC,MM,SS,MS,TR,SR,II}
@attribute UltimaTurmaED {2010_2_,2010_2_A,2011_1_A,2004_2_B,2006_1_A,2011_2_E,2013_2_A,2011_2_C,2011_2_A,2012_1_A,2013_1_A,2012_2_A,2002_2_,2002_2_A}
@attribute StatusMencaoED {APROVADO,REPROVADO}
@attribute QtdePS numeric
@attribute PrimeiraNotaPS {MM,MS,MI,II,SR}
@attribute PrimeiraTurmaPS {2011_2_A,2011_1_A,2010_2_A,2000_1_A,2006_2_A,2012_1_A,2012_2_A,2013_1_A,2003_1_A}
@attribute UltimaNotaPS {MM,MS,II,MI,SR}
@attribute UltimaTurmaPS {2011_2_A,2011_1_A,2010_2_A,2000_1_A,2006_2_A,2012_2_A,2012_1_A,2013_1_A,2003_2_A}
@attribute StatusMencaoPS {APROVADO,REPROVADO}
@attribute QtdeC1 numeric
@attribute PrimeiraNotaC1 {CC,MI,MS,SR,MM,SS,II}
@attribute PrimeiraTurmaC1 {2010_2_,2010_2_B,2010_1_H,2005_2_N,2010_2_C,2010_1_D,2005_2_C,2002_2_H,2011_1_B,2009_2_L,2002_1_J,2010_2_H,2006_2_D,2006_2_C}
@attribute UltimaNotaC1 {CC,MM,MS,SR,SS,II,MI}
@attribute UltimaTurmaC1 {2010_2_,2012_1_B,2010_2_B,2010_1_H,2005_2_N,2011_1_B,2011_1_Y,2011_1_J,2010_2_C,2011_1_E,2011_2_E,2011_2_B,2012_2_H,2005_2_C,2011_2_J,2011_2_L,2002_2_H,2012_1_C,2010_1_R,2012_1_Y,2011_1_H,2002_1_J,2010_2_H,2006_2_D,2006_2_C}
@attribute StatusMencaoC1 {APROVADO,REPROVADO}
@attribute QtdeC2 numeric
@attribute PrimeiraNotaC2 {MM,II,MS,MI,SR,SS,TJ,CC}
@attribute PrimeiraTurmaC2 {2012_1_D,2011_2_A,2010_2_J,2012_2_J,2011_1_D,2010_2_F,2006_2_A,2011_2_G,2011_2_M,2011_1_F,2011_2_B,2012_1_F,2010_2_,2012_1_H,2012_1_E,2013_1_C,2011_2_H,2013_1_D,2011_1_G,2003_1_F,2011_2_C,2010_2_D,2002_2_D,2011_1_B,2007_1_D,2011_1_M,2007_1_F}
@attribute UltimaNotaC2 {MM,MS,TJ,SS,CC,SR,MI}
@attribute UltimaTurmaC2 {2012_1_D,2012_2_J,2010_2_J,2013_1_A,2011_1_D,2010_2_F,2007_1_F,2011_2_I,2013_2_D,2012_1_F,2012_2_D,2012_2_B,2011_1_F,2011_2_A,2010_2_,2012_1_H,2013_1_D,2013_1_C,2011_2_H,2003_1_F,2011_2_M,2002_2_D,2011_1_B,2007_1_D,2011_1_M}
@attribute StatusMencaoC2 {APROVADO,REPROVADO}
@attribute QtdeC3 numeric
@attribute PrimeiraNotaC3 {MM,MI,MS,SR,TR,SS,II}
@attribute PrimeiraTurmaC3 {2012_2_D,2013_2_D,2013_1_H,2011_1_A,2012_2_A,2007_2_F,2012_1_G,2011_2_C,2013_1_A,2013_2_E,2011_2_I,2013_2_H,2011_2_A,2010_2_C,2012_1_D,2003_2_B,2011_2_D,2012_1_A,2003_1_A,2008_1_B,2007_2_B}
@attribute UltimaNotaC3 {MM,MI,MS,SR,SS,TR}
@attribute UltimaTurmaC3 {2012_2_D,2013_2_D,2013_1_H,2011_1_A,2012_2_A,2010_2_H,2012_1_G,2011_2_C,2013_1_A,2013_2_E,2013_2_H,2011_2_A,2010_2_C,2012_1_D,2003_2_B,2011_2_D,2012_1_A,2003_2_A,2008_1_B,2007_2_B}
@attribute StatusMencaoC3 {APROVADO,REPROVADO}
@attribute QtdeF1 numeric
@attribute PrimeiraNotaF1 {MM,II,MS,MI,SR,SS}
@attribute PrimeiraTurmaF1 {2010_2_L,2010_2_A,2010_2_K,2010_1_N,2005_2_A,2010_2_G,2011_1_L,2012_1_C,2005_2_H,2010_2_D,2011_1_D,2010_2_C,2002_1_A,2010_2_N}
@attribute UltimaNotaF1 {MM,MS,SS,II,SR,MI}
@attribute UltimaTurmaF1 {2010_2_L,2011_1_J,2010_2_K,2011_1_B,2010_2_A,2010_1_N,2005_2_A,2011_1_F,2010_2_G,2011_1_L,2013_1_F,2011_2_J,2005_2_H,2010_2_D,2012_2_A,2012_2_C,2011_2_K,2011_2_L,2011_2_B,2002_1_A,2011_2_H,2010_2_N}
@attribute StatusMencaoF1 {APROVADO,REPROVADO}
@attribute QtdeF2 numeric
@attribute PrimeiraNotaF2 {MS,MM,TR,SR,MI,II,SS}
@attribute PrimeiraTurmaF2 {2011_2_A,2011_2_K,2011_1_E,2012_2_E,2011_1_K,2011_1_N,2006_2_F,2011_2_B,2012_1_E,2011_2_C,2011_2_F,2010_2_K,2012_2_B,2012_1_D,2013_1_K,2012_2_K,2011_1_G,2012_2_G,2012_1_A,2012_1_K,2003_1_K}
@attribute UltimaNotaF2 {MS,MM,SR,MI,TR,II,SS}
@attribute UltimaTurmaF2 {2011_2_A,2011_2_K,2011_1_E,2013_1_F,2011_1_K,2011_1_N,2007_2_F,2012_2_A,2011_2_B,2012_1_E,2011_2_C,2011_2_F,2010_2_K,2013_1_E,2012_1_D,2013_1_K,2012_2_G,2012_1_A,2012_1_K,2003_1_K}
@attribute StatusMencaoF2 {APROVADO,REPROVADO}
@attribute QtdeF3 numeric
@attribute PrimeiraNotaF3 {MM,II,MS,SR,MI,TR,CC,SS}
@attribute PrimeiraTurmaF3 {2012_2_A,2013_2_A,2011_2_D,2012_1_A,2011_2_A,2008_1_D,2013_1_E,2013_1_B,2013_1_A,2011_2_C,2010_2_,2012_1_F,2003_2_D}
@attribute UltimaNotaF3 {MM,II,MS,SR,MI,CC,SS}
@attribute UltimaTurmaF3 {2012_2_A,2013_2_A,2012_1_G,2012_1_A,2011_2_A,2013_2_D,2010_2_F,2013_1_E,2012_2_E,2013_1_B,2013_2_C,2010_2_,2013_1_A,2012_1_F,2003_2_D}
@attribute StatusMencaoF3 {APROVADO,REPROVADO}
@attribute AluSexo {M,F}
@attribute AluDtNasc {1990,1988,1989,1992,1993,1977,1985,1991,1986,1994,1984,1987,1983,1975}
@attribute AluEscola {PARTICULAR,PUBLICA,'N INFORMADO'}
@attribute AluCotTipo {UNIVERSAL,NEGRO}
@attribute AluAnoIngresso numeric
@attribute AluSemestreIngresso numeric
@attribute AluAnoSaida numeric
@attribute AluSemestreSaida numeric
@attribute SemestreCursoSaida numeric
@attribute AluSaidaMotivo {'NAO INFORMADO','DESL ABANDONO','DESL NAO CUMPRIU CONDICAO','REPROVOU 3 VEZES MSM DISC OBR','NOVO VESTIBULAR'}
@attribute AluSituacao {CURSANDO,DESLIGADO}

@data
201094831,1,CC,2010_2_,CC,2010_2_,APROVADO,1,CC,2010_2_,CC,2010_2_,APROVADO,1,MM,2011_2_A,MM,2011_2_A,APROVADO,1,CC,2010_2_,CC,2010_2_,APROVADO,1,MM,2012_1_D,MM,2012_1_D,APROVADO,1,MM,2012_2_D,MM,2012_2_D,APROVADO,1,MM,2010_2_L,MM,2010_2_L,APROVADO,1,MS,2011_2_A,MS,2011_2_A,APROVADO,1,MM,2012_2_A,MM,2012_2_A,APROVADO,M,1990,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201094833,1,CC,2010_2_,CC,2010_2_,APROVADO,1,CC,2010_2_,CC,2010_2_,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,CC,2010_2_,CC,2010_2_,APROVADO,3,II,2011_2_A,MM,2012_2_J,APROVADO,1,MI,2013_2_D,MI,2013_2_D,REPROVADO,2,II,2010_2_A,MM,2011_1_J,APROVADO,1,MM,2011_2_K,MM,2011_2_K,APROVADO,1,II,2013_2_A,II,2013_2_A,REPROVADO,F,1990,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201094834,1,CC,2010_2_,CC,2010_2_,APROVADO,1,CC,2010_2_,CC,2010_2_,APROVADO,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,CC,2010_2_,CC,2010_2_,APROVADO,1,MM,2010_2_J,MM,2010_2_J,APROVADO,1,MS,2013_1_H,MS,2013_1_H,APROVADO,1,MS,2010_2_K,MS,2010_2_K,APROVADO,1,MM,2011_1_E,MM,2011_1_E,APROVADO,2,II,2011_2_D,MM,2012_1_G,APROVADO,M,1988,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201094837,1,CC,2010_2_,CC,2010_2_,APROVADO,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,3,MI,2010_2_B,MM,2012_1_B,APROVADO,2,II,2012_2_J,MM,2013_1_A,APROVADO,?,?,?,?,?,?,2,II,2010_2_A,MM,2011_1_B,APROVADO,2,TR,2012_2_E,SR,2013_1_F,REPROVADO,?,?,?,?,?,?,M,1989,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201095109,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,SS,2011_1_A,SS,2011_1_A,APROVADO,1,MS,2011_2_A,MS,2011_2_A,APROVADO,1,MS,2010_2_B,MS,2010_2_B,APROVADO,1,MS,2011_1_D,MS,2011_1_D,APROVADO,?,?,?,?,?,?,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,MM,2011_1_K,MM,2011_1_K,APROVADO,1,MS,2012_1_A,MS,2012_1_A,APROVADO,M,1992,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201095131,1,SS,2010_2_A,SS,2010_2_A,APROVADO,1,SS,2011_1_A,SS,2011_1_A,APROVADO,1,MS,2011_2_A,MS,2011_2_A,APROVADO,1,MS,2010_1_H,MS,2010_1_H,APROVADO,1,MM,2010_2_F,MM,2010_2_F,APROVADO,1,MM,2011_1_A,MM,2011_1_A,APROVADO,1,MM,2010_1_N,MM,2010_1_N,APROVADO,1,MS,2011_1_N,MS,2011_1_N,APROVADO,1,MM,2011_2_A,MM,2011_2_A,APROVADO,F,1993,PUBLICA,NEGRO,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201095189,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,?,?,?,?,?,?,1,MS,2010_2_B,MS,2010_2_B,APROVADO,1,MM,2011_1_D,MM,2011_1_D,APROVADO,1,SR,2012_2_A,SR,2012_2_A,REPROVADO,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MM,2011_1_N,MM,2011_1_N,APROVADO,2,SR,2012_2_A,SR,2013_2_D,REPROVADO,F,1992,PARTICULAR,UNIVERSAL,2010,2,2013,2,7,'DESL ABANDONO',DESLIGADO
201095751,1,MS,2000_1_A,MS,2000_1_A,APROVADO,1,SS,2004_2_B,SS,2004_2_B,APROVADO,1,MM,2000_1_A,MM,2000_1_A,APROVADO,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,M,1977,PUBLICA,NEGRO,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201096065,1,MS,2005_2_A,MS,2005_2_A,APROVADO,1,MS,2006_1_A,MS,2006_1_A,APROVADO,1,MS,2006_2_A,MS,2006_2_A,APROVADO,1,SR,2005_2_N,SR,2005_2_N,REPROVADO,2,II,2006_2_A,MM,2007_1_F,APROVADO,4,MI,2007_2_F,SS,2010_2_H,APROVADO,1,MM,2005_2_A,MM,2005_2_A,APROVADO,3,SR,2006_2_F,MM,2007_2_F,APROVADO,4,SR,2008_1_D,MM,2010_2_F,APROVADO,M,1985,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201096074,1,MS,2010_2_A,MS,2010_2_A,APROVADO,2,MI,2011_1_A,MM,2011_2_E,APROVADO,1,MM,2011_2_A,MM,2011_2_A,APROVADO,1,MM,2010_2_B,MM,2010_2_B,APROVADO,2,MI,2011_1_D,MM,2011_2_I,APROVADO,1,TR,2012_1_G,TR,2012_1_G,REPROVADO,2,MI,2010_2_A,SS,2011_1_J,APROVADO,1,MS,2011_2_A,MS,2011_2_A,APROVADO,1,MM,2013_1_E,MM,2013_1_E,APROVADO,M,1992,PARTICULAR,NEGRO,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201096091,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,MS,2011_2_A,MS,2011_2_A,APROVADO,1,MM,2010_2_B,MM,2010_2_B,APROVADO,1,MS,2011_1_D,MS,2011_1_D,APROVADO,1,MS,2011_2_C,MS,2011_2_C,APROVADO,2,MI,2010_2_A,SS,2011_1_B,APROVADO,1,MS,2011_2_K,MS,2011_2_K,APROVADO,2,MS,2012_1_A,MI,2012_2_E,REPROVADO,M,1992,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201096166,1,MS,2010_2_A,MS,2010_2_A,APROVADO,1,SS,2011_1_A,SS,2011_1_A,APROVADO,1,MS,2011_2_A,MS,2011_2_A,APROVADO,1,MM,2010_2_B,MM,2010_2_B,APROVADO,1,MS,2011_1_D,MS,2011_1_D,APROVADO,1,SS,2011_2_C,SS,2011_2_C,APROVADO,2,II,2010_2_A,MS,2011_1_B,APROVADO,1,MS,2011_2_K,MS,2011_2_K,APROVADO,1,MS,2012_1_A,MS,2012_1_A,APROVADO,M,1991,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
201096374,1,MM,2010_2_A,MM,2010_2_A,APROVADO,1,MS,2011_1_A,MS,2011_1_A,APROVADO,1,MM,2011_2_A,MM,2011_2_A,APROVADO,2,MI,2010_2_B,MM,2011_1_B,APROVADO,4,SR,2011_2_G,MM,2013_2_D,APROVADO,?,?,?,?,?,?,2,II,2010_2_A,MS,2011_1_B,APROVADO,1,MM,2011_2_K,MM,2011_2_K,APROVADO,?,?,?,?,?,?,M,1992,PARTICULAR,UNIVERSAL,2010,2,0,9,99,'NAO INFORMADO',CURSANDO
